name,submitted_name,homepage_url,jurisdiction_type,state_iso,municipality,county_fips,county_name,lat,lng,defunct_year,airtable_uid
Crosby Police Department - ND,Crosby Police Department,https://www.cityofcrosby.com/index.asp?SEC=A991580D-FB6B-4167-9D65-499F773160A6,local,ND,Crosby,38023,['Divide'],48.913265,-103.29674,,rec9DgjCgPQu1SgvA
Tobyhanna Township Police Department - PA,Tobyhanna Township Police Department,http://www.pmrpd.com/phonedirectorypage.html,local,PA,,,,,,,rec9DngQweD7ArI34
DeMotte Police Department - IN,DeMotte Police Department,http://demottepolice.com/,local,IN,Demotte,18073,['Jasper'],41.20194,-87.19505,,rec9DpfZjxUqiR0qx
Kearney Police Department - MO,Kearney Police Department,http://kearneymopolice.com/,local,MO,Kearney,29047,['Clay'],39.3673,-94.37608,,rec9Dtxm6tMPH9OVI
Dare County Sheriff Civil Division - NC,Dare County Sheriff Civil Division,https://www.darenc.com/departments/sheriff-s-office/divisions/civil,county,NC,Kill Devil Hills,37055,['Dare'],36.0458,-75.68016,,rec9E4DH0uaKOvALA
Bandera County Sheriff's Office - TX,Bandera County Sheriff's Office,https://www.banderacounty.org/departments/sheriff.htm,county,TX,Bandera,48019,['Bandera'],29.77191,-99.06136,,rec9E8mEmMwHPi4Ay
Bath Borough Police Department - PA,Bath Borough Police Department,https://bathborough.org/government/public-safety/pennsylvania-state-police/,local,PA,,,,,,,rec9EMXpRgEDZ93pA
Cowlitz County Sheriff's Office Longview - WA,Cowlitz County Sheriff's Office Longview,https://www.co.cowlitz.wa.us/267/Sheriff,county,WA,Longview,53015,['Cowlitz'],46.13754,-122.93403,,rec9EOJBmr5xfnUtt
Skagit County Sheriff's Office - WA,Skagit County Sheriff's Office,http://www.skagitcounty.net/Departments/Sheriff/main.htm,county,WA,Medical Lake,53057,['Skagit'],47.572086,-117.68302,,rec9EUT1r2m2h53NI
North Hopewell Township Police Department - PA,North Hopewell Township Police Department,,local,PA,Felton,42133,['York'],,,,rec9EVDQLxeBlUfQo
Island County Sheriff's Office - WA,Island County Sheriff's Office,https://www.islandcountywa.gov/Sheriff/Pages/Home.aspx,county,WA,Seattle,53029,['Island'],47.56168,-122.32477,,rec9Ew882Aiu1z1oj
Kutztown University of Pennsylvania - PA,Kutztown University of Pennsylvania,,school,PA,Kutztown,42011,['Berks'],,,,rec9FDzIsyqgo59qG
Oklahoma Police Pension and Retirement System - OK,Oklahoma Police Pension and Retirement System,https://www.opprs.ok.gov/,local,OK,Oklahoma City,40109,['Oklahoma'],35.53751,-97.52793,,rec9FFOwBHKg5dC8K
Oconomowoc Township Police Department - WI,Oconomowoc Township Police Department,https://www.facebook.com/ReadstownPoliceDepartment,local,WI,Oconomowoc,55133,['Waukesha'],43.44985,-90.7591,,rec9FIfYzD70r1Yoe
Bartow County Sheriff Adairsville - GA,Bartow County Sheriff Adairsville,http://www.bartow.org,county,GA,Adairsville,13015,['Bartow'],34.3674,-84.93462,,rec9FJakcREMk8pBa
Holmes County Sheriff's Office - MS,Holmes County Sheriff's Office,https://holmescountyms.org/sheriff,county,MS,Lexington,28051,['Holmes'],33.106377,-90.025116,,rec9FSIrEKXX07wNd
West Newton Police Department - PA,West Newton Police Department,https://mywestnewton.com/government/departments/,local,PA,West Newton,42129,['Westmoreland'],40.20976,-79.768166,,rec9FTXypBw7i52jC
City of Chesapeake Police Department Deep Creek - VA,City of Chesapeake Police Department Deep Creek,http://www.cityofchesapeake.net/government/city-departments/departments/Police-Department.htm,local,VA,Chesapeake,51550,['Chesapeake'],36.775,-76.34028,,rec9FjdtOqYTtZxOg
Birch Tree Police Department - MO,Birch Tree Police Department,,local,MO,Birch Tree,29203,['Shannon'],,,,rec9FmrC4aVxEq0ec
Logan International Airport Police - MT,Logan International Airport Police,https://www.flybillings.com/1251/Airport-Police,local,MT,Billings,30111,['Yellowstone'],45.80357,-108.53782,,rec9G7sn9UBczsxNc
Upshur County Sheriff's Office - TX,Upshur County Sheriff's Office,https://www.facebook.com/upshurcountysheriffsofficetx/,county,TX,Gilmer,48459,['Upshur'],32.73232,-94.94392,,rec9G9I8K9h62sbSA
Follansbee Police Department - WV,Follansbee Police Department,https://www.brookecountysheriff.com/,local,WV,Follansbee,54009,['Brooke'],40.327496,-80.59579,,rec9G9yOXNWTg6kcK
Fontana Police Department - CA,Fontana Police Department,https://www.fontana.org/112/Police-Department,local,CA,Fontana,06071,['San Bernardino'],34.101685,-117.43379,,rec9GL1ItCZGyN2Vp
Marshall County Sheriff's Office - MN,Marshall County Sheriff's Office,,county,MN,Warren,27089,['Marshall'],48.19563,-96.7689,,rec9GWT8X4uzIwhd8
Stephen F. Austin State University Police Department - TX,Stephen F. Austin State University Police Department,http://www.sfasu.edu/upd,state,TX,Nacogdoches,48347,['Nacogdoches'],31.622812,-94.64917,,rec9Ga7FFBcCPCqpG
Appleton Police Department - WI,Appleton Police Department,http://www.appleton.org/residents/police,local,WI,Appleton,55087,['Outagamie'],44.260353,-88.4115,,rec9H3p4D7rY2lzak
Gilbert Police Department - LA,Gilbert Police Department,https://www.gilbertaz.gov/departments/police,local,LA,Gilbert,04013,['Maricopa'],33.330345,-111.78868,,rec9H5tfRLB4BgVMX
